"country_name","country_code","indicator_name","indicator_code","debt"
"Benin","BEN","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","147183461.2"
"Benin","BEN","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","480261590.4"
"Benin","BEN","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","12619948.0"
"Benin","BEN","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","188229528.8"
"Benin","BEN","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","860502778.2"
"Benin","BEN","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","56983320.8"
"Benin","BEN","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","335412990.0"
"Benin","BEN","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","1340764368.6"
"Benin","BEN","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","69603268.8"
"Benin","BEN","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","1283885005.9"
"Benin","BEN","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","617477270.0"
"Bhutan","BTN","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","669650463.6"
"Bhutan","BTN","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","159795479.8"
"Bhutan","BTN","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","171597440.3"
"Bhutan","BTN","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","625059300.5"
"Bhutan","BTN","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","142741571.5"
"Bhutan","BTN","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","31856125.1"
"Bhutan","BTN","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","44591163.1"
"Bhutan","BTN","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","16766608.3"
"Bhutan","BTN","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","203453565.4"
"Bhutan","BTN","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","669650463.6"
"Bhutan","BTN","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","159508179.8"
"Bhutan","BTN","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","209962015.4"
"Bolivia","BOL","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","1213742004.6"
"Bolivia","BOL","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","713551406.8"
"Bolivia","BOL","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","91859686.4"
"Bolivia","BOL","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","271655602.9"
"Bolivia","BOL","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","72415732.4"
"Bolivia","BOL","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","555420572.9"
"Bolivia","BOL","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","817953093.7"
"Bolivia","BOL","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","473920392.7"
"Bolivia","BOL","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","647280259.3"
"Bolivia","BOL","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","1089608696.6"
"Bolivia","BOL","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","546336125.1"
"Bolivia","BOL","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","1012805922.1"
"Bolivia","BOL","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","357632010.0"
"Bosnia and Herzegovina","BIH","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","587217346.5"
"Bosnia and Herzegovina","BIH","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","281271531.5"
"Bosnia and Herzegovina","BIH","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","115339774.5"
"Bosnia and Herzegovina","BIH","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","132495175.1"
"Bosnia and Herzegovina","BIH","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","16897493.3"
"Bosnia and Herzegovina","BIH","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","409251681.8"
"Bosnia and Herzegovina","BIH","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","453561921.4"
"Bosnia and Herzegovina","BIH","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","135525683.2"
"Bosnia and Herzegovina","BIH","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","524591456.3"
"Bosnia and Herzegovina","BIH","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","586057096.5"
"Bosnia and Herzegovina","BIH","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","152423176.5"
"Bosnia and Herzegovina","BIH","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","1895842975.7"
"Bosnia and Herzegovina","BIH","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","1366951140.0"
"Botswana","BWA","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","195751014.7"
"Botswana","BWA","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","90755485.6"
"Botswana","BWA","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","1993811.4"
"Botswana","BWA","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","370229.5"
"Botswana","BWA","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","150040135.0"
"Botswana","BWA","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","195751014.7"
"Botswana","BWA","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","90385256.1"
"Botswana","BWA","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","152033946.4"
"Botswana","BWA","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","195751014.7"
"Botswana","BWA","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","90755485.6"
"Botswana","BWA","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","152033946.4"
"Brazil","BRA","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","9197321978.7"
"Brazil","BRA","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","26057257529.1"
"Brazil","BRA","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","1183843539.4"
"Brazil","BRA","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","1380523552.4"
"Brazil","BRA","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","131564562.4"
"Brazil","BRA","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","2672683110.7"
"Brazil","BRA","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","1501160914.1"
"Brazil","BRA","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","2134122220.7"
"Brazil","BRA","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","3856526650.1"
"Brazil","BRA","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","2881684466.5"
"Brazil","BRA","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","2265686783.1"
"Brazil","BRA","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","69276593908.0"
"Brazil","BRA","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","53180973866.4"
"Burkina Faso","BFA","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","1071696699.2"
"Burkina Faso","BFA","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","343571179.5"
"Burkina Faso","BFA","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","58009429.8"
"Burkina Faso","BFA","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","169026310.5"
"Burkina Faso","BFA","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","9057419.6"
"Burkina Faso","BFA","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","218120147.2"
"Burkina Faso","BFA","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","663851235.9"
"Burkina Faso","BFA","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","57582849.3"
"Burkina Faso","BFA","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","276129577.0"
"Burkina Faso","BFA","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","832877546.4"
"Burkina Faso","BFA","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","66640268.9"
