ln_ing_lab,lngasfam,nucleo,age_squared,sch,niv_edu_g_Secundaria completa,niv_edu_g_Secundaria incompleta,niv_edu_g_Superior completa,niv_edu_g_Superior incompleta,pobreza_pobre extremo,pobreza_pobre no extremo,jefe_Yes,urban_urbano,ramactsec_Sector Secundario,ramactsec_Sector Terciario,male_Mujer
6.468991756439209,8.26346492767334,2,1764,11,True,False,False,False,False,False,True,True,False,True,True
7.278398990631104,8.26346492767334,2,361,11,True,False,False,False,False,False,False,True,False,True,True
7.3076491355896,8.269796371459961,0,841,14,False,False,False,True,False,False,True,True,False,True,False
7.321133613586426,8.269796371459961,1,1600,16,False,False,True,False,False,False,False,True,False,True,True
7.3076491355896,8.269796371459961,1,2601,16,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,8.542348861694336,1,3721,16,False,False,True,False,False,False,True,True,False,True,False
6.545469284057617,7.711405277252197,0,3481,14,False,False,True,False,False,False,True,True,False,True,True
6.644440650939941,7.683476448059082,1,900,18,False,False,True,False,False,False,True,True,False,True,False
6.410209625378831,8.340859413146973,1,2601,11,True,False,False,False,False,False,True,True,False,True,True
6.968193260751402,8.340859413146973,1,400,13,False,False,False,True,False,False,False,True,False,True,True
6.644440650939941,7.683476448059082,1,729,16,False,False,True,False,False,False,True,True,False,False,False
7.311886310577393,8.222628593444824,1,2809,14,False,False,False,True,False,False,True,True,False,True,False
7.317544460296631,8.222628593444824,1,2809,14,False,False,True,False,False,False,False,True,False,True,True
7.088686943054199,7.683476448059082,1,2704,16,False,False,True,False,False,False,True,True,False,True,True
7.469844341278076,7.683476448059082,1,841,16,False,False,True,False,False,False,False,True,False,True,False
7.088686943054199,7.683476448059082,1,729,16,False,False,True,False,False,False,False,True,False,True,True
6.644440650939941,7.683476448059082,0,3481,18,False,False,True,False,False,False,True,True,False,True,True
6.644440650939941,8.48281478881836,1,961,16,False,False,True,False,False,False,True,True,False,True,True
7.599526405334473,8.48281478881836,0,1296,18,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,7.683476448059082,1,1764,18,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,7.683476448059082,1,1681,16,False,False,True,False,False,False,False,True,False,True,True
5.938854694366455,8.089411735534668,1,784,16,False,False,True,False,False,False,False,True,False,True,False
6.644440650939941,8.644524574279785,1,3844,18,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,8.429779052734375,1,5041,18,False,False,True,False,False,False,True,True,False,True,False
7.857738494873047,8.429779052734375,1,1444,18,False,False,True,False,False,False,False,True,False,True,True
5.632107257843018,8.455294609069824,1,3364,17,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,7.683476448059082,1,2704,11,True,False,False,False,False,False,False,True,False,True,True
